date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:55:51	35139/35139	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:46%20GMT	https://demo.dashboardpack.com/marketing-html/index.html	F:/nova/template/demo.dashboardpack.com/marketing-html/index-2.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:51	1069/1069	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632dba40-42d%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/dashboard.svg	F:/nova/template/demo.dashboardpack.com/marketing-html/img/menu-icon/dashboard.svg	(from https://demo.dashboardpack.com/marketing-html/)
09:55:52	33459/33459	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:46%20GMT	https://demo.dashboardpack.com/marketing-html/index_2.html	F:/nova/template/demo.dashboardpack.com/marketing-html/index_2.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:53	35158/35158	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:46%20GMT	https://demo.dashboardpack.com/marketing-html/index_3.html	F:/nova/template/demo.dashboardpack.com/marketing-html/index_3.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:53	1555/1555	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632dba3d-613%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/2.svg	F:/nova/template/demo.dashboardpack.com/marketing-html/img/menu-icon/2.svg	(from https://demo.dashboardpack.com/marketing-html/)
09:55:54	17930/17930	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:33%20GMT	https://demo.dashboardpack.com/marketing-html/calender.html	F:/nova/template/demo.dashboardpack.com/marketing-html/calender.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:54	17302/17302	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:41%20GMT	https://demo.dashboardpack.com/marketing-html/editor.html	F:/nova/template/demo.dashboardpack.com/marketing-html/editor.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:54	25248/25248	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:29%20GMT	https://demo.dashboardpack.com/marketing-html/mail_box.html	F:/nova/template/demo.dashboardpack.com/marketing-html/mail_box.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:55	21108/21108	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:35%20GMT	https://demo.dashboardpack.com/marketing-html/chat.html	F:/nova/template/demo.dashboardpack.com/marketing-html/chat.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:55	26746/26746	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:42%20GMT	https://demo.dashboardpack.com/marketing-html/faq.html	F:/nova/template/demo.dashboardpack.com/marketing-html/faq.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:55	1632/1632	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22632dba3d-660%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/3.svg	F:/nova/template/demo.dashboardpack.com/marketing-html/img/menu-icon/3.svg	(from https://demo.dashboardpack.com/marketing-html/)
09:55:55	20485/20485	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:35%20GMT	https://demo.dashboardpack.com/marketing-html/colors.html	F:/nova/template/demo.dashboardpack.com/marketing-html/colors.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:56	22170/22170	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:31%20GMT	https://demo.dashboardpack.com/marketing-html/Alerts.html	F:/nova/template/demo.dashboardpack.com/marketing-html/Alerts.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:56	23905/23905	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:33%20GMT	https://demo.dashboardpack.com/marketing-html/buttons.html	F:/nova/template/demo.dashboardpack.com/marketing-html/buttons.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:56	29119/29119	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:30%20GMT	https://demo.dashboardpack.com/marketing-html/modal.html	F:/nova/template/demo.dashboardpack.com/marketing-html/modal.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:56	26723/26723	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:41%20GMT	https://demo.dashboardpack.com/marketing-html/dropdown.html	F:/nova/template/demo.dashboardpack.com/marketing-html/dropdown.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:57	19620/19620	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:52:32%20GMT	https://demo.dashboardpack.com/marketing-html/Badges.html	F:/nova/template/demo.dashboardpack.com/marketing-html/Badges.html	(from https://demo.dashboardpack.com/marketing-html/)
09:55:57	27643/27643	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Sep%202022%2013:53:29%20GMT	https://demo.dashboardpack.com/marketing-html/Loading_Indicators.html	F:/nova/template/demo.dashboardpack.com/marketing-html/Loading_Indicators.html	(from https://demo.dashboardpack.com/marketing-html/)
